name, status, platform, notes,
Mortal Kombat 11,finished, PS5,
Mortal Kombat One,not started, PS5,
Wolfenstein The Old Blood,finished, PS5,
Wolfenstein The New Colossus,started, PS5,
Alan Wake,finished, PC,
Alan Wake 2,finished, PS5,
Vampyr,finished,PS5,
Ruiner,finished,PS5,
Clair Obscur Expedition 33,finished,PS5,
Skate Story,finished,PS5,
